Index,Artist,Title,Tekst
ML101,The Who,Love Reign O'er Me,Lyrics not found
ML102,Billy Squier,In The Dark,"Life isn't easy from the singular side Down in the hole, some emotions are hard to hide It's your decision, it's a chance that you take It's on your head, it's a habit that's hard to break Do you need a friend Would you tell no lies Would you take me in Are you lonely in the dark In the dark In the dark In the dark You never listen to the voices inside They fill your ears as you run to a place to hide You're never sure if the illusion is real You pinch yourself but the memories are all you feel Can you break away From your alibis Can you make a play Oh, will you meet me in the dark In the dark In the dark In the dark In the dark In the dark Don'tcha need me, hey, hey Don'tcha need me, oh yeah Don'tcha leave me, hey, hey Don'tcha need me, oh yeah You take no interest, no opinion's too dear You make the rounds, oh, you try to be so sincere You guard your hopes and you pocket your dreams You'd trade it all to avoid an unpleasant scene Can you face the fire When you see me there Can you feel the fire Will you love me in the dark In the dark In the dark In the dark In the dark In the dark In the dark In the dark In the dark"
ML103,Pink Floyd,One Of These Days,One of these days I'm going to cut you into little pieces
ML104,Van Halen,Runnin' With The Devil,"I live my life like there's no tomorrow And all I've got I had to steal Least I don't need to beg or borrow Yes, I'm living at a pace that kills Runnin' with the devil Runnin' with the devil I'll tell y'all about it I found the simple life ain't so simple When I jumped out on that road I got no love, no love you'd call real Ain't got nobody waiting at home Runnin' with the devil God damn it lady, you know I ain't lying to ya I'm wanna tell you one time Aah-yeah Running with the devil Yes I am Yeah Woo Woo You know I, I found the simple life, weren't so simple, no When I jumped out on that road Got no love, no love you'd call real Got nobody waiting at home Runnin' with the devil Runnin' with the devil Runnin' with the devil Runnin' with the devil [Repeat and fade]"
ML105,David Bowie,Fame,"Fame (fame) makes a man take things over Fame (fame) lets him loose, hard to swallow Fame (fame) puts you there where things are hollow Fame (fame) Fame, it's not your brain, it's just the flame That burns your change to keep you in... sane (sane) Fame (fame) Fame (fame) what you like is in the limo Fame (fame) what you get is no tomorrow Fame (fame) what you need you have to borrow Fame (fame) Fame, ""Nein! It's mine!"" is just his line To bind your time, it drives you to... crime Fame (fame) Could it be the best, could it be? Really be, really, babe? Could it be, my babe, could it, babe? Could it, babe? Could it, babe? Is it any wonder I reject you first? Fame (fame) fame, fame, fame (fame) Is it any wonder you are too cool to fool Fame (fame) Fame, bully for you, chilly for me Got to get a rain check on... pain (pain) (Fame) Fame, fame, fame, fame, fame, fame, fame, fame Fame, fame, fame, fame, fame, fame, fame, fame Fame, fame, fame, fame, fame, fame, fame Fame What's your name? (Feeling so gay, feeling gay)"
ML106,Three Plus,Undercover Lover,Lyrics not found
ML107,Three Plus,Honey Baby,Lyrics not found
ML108,Three Plus,Two Person Party,Lyrics not found
ML109,Bob Marley & The Wailers,Easy Skanking,Lyrics not found
ML110,Gregory Isaacs,Private Beach Party,Lyrics not found
ML111,Fiji,Anything You Want,"It's hard to explain The hardships and pain That true lovers must endure That's for sure I have my regrets But much more than that This special love we must secure More and more There's no better feelin' Than when I rise up to see the morning sun And watch the sunrise in you eyes You're like the summer breeze When I'm going through my winter time So baby take this love of mine 'Cause anything you want, girl I will give it to you Anything you need, girl My heart will be so true Anything you want, girl I will give it to you Anything you need, girl My heart will always be true to you They say once you're bit, you're twice as shy I have no reason to ask you why, why oh why We must understand the ultimate plan Is that we live a happy life In the by and by There's no better feelin' Than when I rise up to see the morning sun And watch the sunrise in you eyes You're like the summer breeze That comes to me in the winter time So honey, I hope you realize 'Cause anything you want, girl I will give it to you Anything you need, girl My heart will always be true Anything you want, girl I will surely give it to you Anything you need, girl My heart will always be true to you"
ML112,Ooklah The Moc,Hell Fire,Lyrics not found
ML113,Shaggy,Angel ,"[Shaggy and Rayvon:] Now this one's dedicated to all the youths who want to say nice things to all them girls Treat her like diamonds and pearls Dedicated to all the girls around the world Now this is Rayvon and Shaggy with a combination you can't miss Flip this one upon the musical disc Well [Rayvon:] Girl, you're my angel, you're my darling angel Closer than my peeps you are to me, baby Shorty, you're my angel, you're my darling angel Girl, you're my friend when I'm in need, lady [Shaggy:] Life is one big party when you're still young But who's gonna have your back when it's all done It's all good when you're little, you have pure fun Can't be a fool, son, what about the long run Looking back shorty always I mention Said me not giving her much attention She was there through my incarceration I wanna show the nation my appreciation [Rayvon:] Girl, you're my angel, you're my darling angel Closer than my peeps you are to me, baby Shorty, you're my angel, you're my darling angel Girl, you're my friend when I'm in need, lady [Shaggy:] You're a queen and so you should be treated Though you never get the lovin' that you needed Could have left, but I called and you heeded Begged and I pleaded, mission completed Mama said that I and I dissed the program Not the type to mess around with your emotion But the feeling that I have for you is so strong Been together so long and this could never be wrong [Rayvon:] Girl, you're my angel, you're my darling angel Closer than my peeps you are to me, baby Shorty, you're my angel, you're my darling angel Girl, you're my friend when I'm in need, lady [Shaggy (Rayvon):] Uh, uh Girl, in spite of my behavior, said I'm your savior (You must be sent from up above) And you appear to me so tender, say girl I surrender (Thanks for giving me your love) Girl, in spite of my behavior, well, you are my savior (You must be sent from up above) And you appear to me so tender, well, girl I surrender (Said thanks for giving me your love) [Shaggy:] Now life is one big party when you're still young And who's gonna have your back when it's all done It's all good when you're little, you have pure fun Can't be a fool, son, what about the long run Looking back shorty always I mention Said me not giving her much attention She was there through my incarceration I wanna show the nation my appreciation [Rayvon:] Girl, you're my angel, you're my darling angel Closer than my peeps you are to me, baby Shorty, you're my angel, you're my darling angel Girl, you're my friend when I'm in need, lady Girl, you're my angel, you're my darling angel Closer than my peeps you are to me, baby Shorty, you're my angel, you're my darling angel Girl, you're my friend when I'm in need, lady"
ML114,Sean Paul,I'm Still In Love With You ,"[Sean Paul and Sasha talking] [Sean Paul] Well, in comes di ting them call di broken heart This blessed love will never part Yuh dun know it's from the start mi tell them seh a dutty, yeah! A Sean Paul and Sasha. Come sing for them, baby [Sasha] Boy, you make me holler Boy, you make me sweat I can't get your tenderness Still I can't get you off my mind What is it about you, baby? [Sean] It's the dutty dutty love [Chorus:] [S] I'm still in love with you, boy… Well, I'm a hustler and a player and you know I'm not a stayer That's the dutty dutty love [S] I'm still in love with you, boy… Say, girl, try to understand that a man is just a man That's the dutty dutty love [S] I'm still in love with you, boy… Blessings loving from the start, but you know we had to part That's the way I give my love [S] I'm still in love with you… But a man gotta do what a man gotta do… [Sean Paul] Girl, well, a never had to promise you no bling bling fo hold you, girl A just the loving weh me fling fling control you, girl And make your head swirl And make your body twirl And make you wanna be my one and only baby girl Night after night me give you love fi keep you warm Girl, you never get this kinda love from you born And now you want draw card say me just can't perform [Chorus 1] [S] I love you, baby A true a get the little loving and me gone [S] You don't know how to love me I an I nah no time fi no kiss up an charm [S] Not even how to kiss me A true me take you little heart by storm [S] I don't know why Babygirl, babygirl [S] I love you, baby A just the dutty dutty love [Chorus 2] [S] I'm still in love with you, boy… Well, I'm a hustler and a player and you know I'm not a stayer That's the dutty dutty love [S] I'm still in love with you, boy… Say, girl, can't you understand that a man is just a man That's the dutty dutty love [S] I'm still in love with you, boy… Blessing loving from the start, but you know we had to part That's the way I give my love [S] I'm still in love with you… But a man gotta do what a man gotta do, girl [Sean Paul] A true me give her tug love and say bye bye bye Me turn around she ask the question why why why When me leaving me see the girl cry cry cry And it hurts my heart to tell lie lie lie So don't cry no more Baby girl, for sure Just remember the good times we had before [Chorus 1] [S] I love you, baby A true a get the little loving and me gone [S] You don't know how to love me I an I nah no time fi no kiss up an charm [S] Not even how to kiss me A true me take you little heart by storm [S] I don't know why Babygirl, babygirl [S] I love you, baby A just the dutty dutty love [Chorus 2] [S] I'm still in love with you, boy… Well, I'm a hustler and a player and you know I'm not a stayer That's the dutty dutty love [S] I'm still in love with you, boy… Say, girl, don't you understand that a man is just a man That's the way I give my love [S] I'm still in love with you, boy… Blessings loving from the start, but you know we had to part That's the dutty dutty love [S] I'm still in love with you… But a man gotta do what a man gotta do, girl.... [Sasha] I don't know why [3x] I don't know [3x] I don't know why I'm still in love with you, boy..."
ML115,The Beach Boys,Good Vibrations,Lyrics not found
ML116,Orleans,Still The One,"We've been together since way back when Sometimes I never want to see you again But I want you to know After all these years You're still the one I want whisperin' in my ear You're still the one I want to talk to in bed Still the one That turns my head We're still having fun And you're still the one I looked at your face every day But I never saw it 'til I went away When winter came I just wanted to go (wanted to go) Deep in the desert I longed for the snow You're still the one That makes me laugh Still the one That's my better half We're still having fun And you're still the one You're still the one That makes me strong Still the one I want to take along We're still having fun And you're still the one (yes you are) Changing, our love is going gold Even though we grow old, it grows new You're still the one That I love to touch Still the one And I can't get enough We're still having fun And you're still the one You're still the one Who can scratch my itch Still the one And I wouldn't switch We're still having fun And you're still the one You are still the one That makes me shout Still the one That I dream about We're still having fun And you're still the one You're still the one Yeah, still the one We're still having fun And you're still the one"
ML117,The Babys,Every Time I Think Of You,Lyrics not found
ML118,R.E.M.,The One I Love,"This one goes out to the one I love This one goes out to the one I've left behind A simple prop to occupy my time This one goes out to the one I love Fire Fire This one goes out to the one I love This one goes out to the one I've left behind A simple prop to occupy my time This one goes out to the one I love Fire (she's comin' down on her own, now) Fire (she's comin' down on her own, now) This one goes out to the one I love This one goes out to the one I've left behind Another prop has occupied my time This one goes out to the one I love Fire (she's comin' down on her own, now) Fire (she's comin' down on her own, now) Fire (she's comin' down on her own, now) Fire (she's comin' down on her own, now)"
ML119,The Cure,Lovesong,Lyrics not found
ML120,Annie Lennox,Walking On Broken Glass,Walking on walking on broken glass Walking on walking on broken glass You were the sweetest thing that I ever knew But I don't care for sugar honey if I can't have you Since you abandoned me My whole life has crashed Won't you pick the pieces up 'Cause it feels just like I'm walking on broken glass Walking on walking on broken glass Walking on walking on broken glass The sun's still shining in the big blue sky But it don't mean nothing to me Oh let the rain come down Let the wind blow through me I'm living in an empty room With all the windows smashed And I've got so little left to lose That it feels just like I'm walking on broken glass Walking on walking on broken glass And If you're trying to cut me down You know that I might bleed 'Cause if you're trying to cut me down I know that you'll succeed And if you want to hurt me There's nothing left to fear 'Cause if you want to hurt me You're doing really well my dear Now everyone of us was made to suffer Everyone of us was made to weep But we've been hurting one another And now the pain has cut too deep… So take me from the wreckage Save me from the blast Lift me up and take me back Don't let me keep on walking… I can't keep on walking I can't keep on walking on broken glass Walking on walking on broken glass Walking on walking on broken glass ...
ML121,Soft Cell,Tainted Love,"Sometimes I feel I've got to Run away, I've got to Get away from the pain you drive into the heart of me The love we share Seems to go nowhere And I've lost my light For I toss and turn, I can't sleep at night Once I ran to you (I ran) Now I'll run from you This tainted love you've given I give you all a boy could give you Take my tears and that's not nearly all Tainted love (oh) Tainted love Now I know I've got to Run away, I've got to Get away, you don't really want any more from me To make things right You need someone to hold you tight And you think love is to pray But I'm sorry, I don't pray that way Once I ran to you (I ran) Now I'll run from you This tainted love you've given I give you all a boy could give you Take my tears and that's not nearly all Tainted love (oh) Tainted love Don't touch me, please I cannot stand the way you tease I love you though you hurt me so Now I'm gonna pack my things and go Tainted love (oh) Tainted love (oh) Tainted love (oh) Tainted love (oh) Touch me, baby, tainted love Touch me, baby, tainted love Tainted love (oh) Tainted love (oh) Tainted love Tainted love"
ML122,Lenny Kravitz,Again,"I've been searching for you I heard a cry within my soul I've never had a yearning quite like this before Now here you are, walking right through my door All of my life Where have you been I wonder if I'll ever see you again And if that day comes I know we could win I wonder if I'll ever see you again A sacred gift of heaven For better worse, wherever And I would never let somebody break you down Or take your crown, never All of my life Where have you been I wonder if I'll ever see you again And if that day comes I know we could win I wonder if I'll ever see you again I've searched through time, I've always known That you were there, upon your throne A lonely queen without her king I've longed for you, my love forever All of my life Where have you been I wonder if I'll ever see you again And if that day comes I know we could win I wonder if I'll ever see you again All of my life Where have you been I wonder if I'll ever see you again And if that day comes I know we could win I wonder if I'll ever see you again All of my life Where have you been I wonder if I'll ever see you again And if that day comes I know we could win I wonder if I'll ever see you again I wonder if I'll ever see you again I wonder if I'll ever see you again I wonder if I'll ever see you again I wonder if I'll ever see you again I wonder if I'll ever see you again I wonder if I'll ever see you again I wonder if I'll ever see you again"
ML123,Cyndi Lauper,Time After Time,"Lying in my bed, I hear the clock tick and think of you Caught up in circles, confusion is nothing new Flashback, warm nights almost left behind Suitcase of memories, time after... Sometimes you picture me, I'm walking too far ahead You're calling to me, I can't hear what you've said Then you say, ""Go slow"", I fall behind The second hand unwinds If you're lost, you can look and you will find me Time after time If you fall, I will catch you, I'll be waiting Time after time If you're lost, you can look and you will find me Time after time If you fall, I will catch you, I'll be waiting (I will be waiting) Time after time After my picture fades and darkness has turned to gray Watching through windows, you're wondering if I'm OK Secrets stolen from deep inside The drum beats out of time If you're lost, you can look and you will find me Time after time If you fall, I will catch you, I'll be waiting Time after time You said, ""Go slow"", I fall behind The second hand unwinds If you're lost, you can look and you will find me Time after time If you fall, I will catch you, I'll be waiting Time after time If you're lost, you can look and you will find me Time after time If you fall, I will catch you, I'll be waiting (I will be waiting) Time after time Time after time Time after time Time after time Time after time Time after time Time after time Time after time Time after time Time after time Time after time"
ML124,Falco,Rock Me Amadeus,"Uh, rock me Amadeus Er war ein Punker und er lebte in der großen Stadt Es war in Wien, war Vienna, wo er alles tat Er hatte Schulden, denn er trank, doch ihn liebten alle Frauen Und jede rief: „Come and rock me Amadeus!“ Er war Superstar, er war populär Er war so exaltiert, because er hatte Flair Er war ein Virtuose, war ein Rockidol Und alles rief: „Come and rock me Amadeus!“ Amadeus, Amadeus, Amadeus Amadeus, Amadeus, Amadeus Amadeus, Amadeus - oh, oh, oh - Amadeus Come and rock me Amadeus! Amadeus, Amadeus, Amadeus Amadeus, Amadeus, Amadeus Amadeus, Amadeus - oh, oh, oh - Amadeus Es war um 1780 und es war in Wien No Plastik money anymore, die Banken gegen ihn Woher die Schulden kamen, war wohl jedermann bekannt Er war ein Mann der Frauen, Frauen liebten seinen Punk Er war Superstar, er war so populär Er war zu exaltiert, genau das war sein Flair Er war ein Virtuose, war ein Rockidol Und alles ruft noch heute: „Come and rock me Amadeus!“ Amadeus, Amadeus, Amadeus Amadeus, Amadeus, Amadeus Amadeus, Amadeus - oh, oh, oh - Amadeus Come and rock me Amadeus! Amadeus, Amadeus, Amadeus Amadeus, Amadeus, Amadeus Amadeus, Amadeus - oh, oh, oh - Amadeus Come and rock me Amadeus! Come and rock me Amadeus! Amadeus, Amadeus, Amadeus Amadeus, Amadeus, Amadeus Amadeus, Amadeus - oh, oh, oh - Amadeus Oh, can't you rock me Amadeus? Amadeus, Amadeus, Amadeus Amadeus, Amadeus, Amadeus Amadeus, Amadeus - oh, oh, oh - Amadeus Amadeus, Amadeus! Amadeus, Amadeus..."
ML125,The Fixx,Saved By Zero,Lyrics not found
ML126,Gino Vannelli,Living Inside Myself,"In my life I've felt so self assured But suddenly it's all changed She's a cloud That hangs above my world And I find myself wondering in the rain And now I can't go on 'Cause I am lost Living inside myself Living inside this shell Living outside your love I am lost Somewhere inside my own dreams Afraid of what life really means Living without your love I need a guiding light To shine on my darkest days I was young, and time was on my side But like a fool I let it slip away And now those days are gone And I am lost Living inside myself Living inside this shell Living outside your love I am lost Somewhere inside my own dreams Afraid of what life really means Living without your love In my life I've felt so self-assured But oh how all the seasons change And now I'm not that strong 'Cause I am lost Living inside myself Living inside this hell Living outside your love I am lost Somewhere inside my own dreams Afraid of what life really means Living without your love I am lost Living inside myself Living inside this shell Living outside your love I am lost"
ML127,Aretha Franklin,Respect,"What you want Baby, I got it What you need Do you know I got it? All I'm askin' Is for a little respect When you come home (just a little bit) Hey, baby (just a little bit) When you get home (just a little bit) Mister (just a little bit) I ain't gonna do you wrong While you're gone Ain't gonna do you wrong 'Cause I don't wanna All I'm askin' Is for a little respect When you come home (just a little bit) Baby (just a little bit) When you get home (just a little bit) Yeah (just a little bit) I'm about to give you all of my money And all I'm askin' in return, honey Is to give me my propers When you get home (just a, just a, just a, just a) Yeah, baby (just a, just a, just a, just a) When you get home (just a little bit) Yeah (just a little bit) Ooh, your kisses Sweeter than honey And guess what? So is my money All I want you to do for me Is give it to me when you get home (re, re, re ,re) Yeah, baby (re, re, re ,re) Whip it to me (respect, just a little bit) When you get home, now (just a little bit) R-E-S-P-E-C-T Find out what it means to me R-E-S-P-E-C-T Take care, TCB Oh (sock it to me, sock it to me Sock it to me, sock it to me) A little respect (sock it to me, sock it to me, sock it to me, sock it to me) Whoa, babe (just a little bit) A little respect (just a little bit) I get tired (just a little bit) Keep on tryin' (just a little bit) You're runnin' out of foolin' (just a little bit) And I ain't lyin' (just a little bit) (re, re, re, re) 'spect When you come home (re, re, re, re) Or you might walk in (respect, just a little bit) And find out I'm gone (just a little bit) I got to have (just a little bit)"
ML128,Melissa Etheridge,I'm The Only One,"Please, baby, can't you see My mind's a burnin' hell I got razors a-rippin' and tearin' and strippin' My heart apart as well Tonight you told me That you ache for something new And some other woman is looking like somethin' That might be good for you Go on, and hold her 'til the screaming is gone Go on, believe her when she tells you Nothing's wrong But I'm the only one Who'll walk across the fire for you I'm the only one Who'll drown in my desire for you It's only fear that makes you run The demons that you're hiding from When all your promises are gone I'm the only one Please baby can't you see I'm trying to explain I've been here before and I'm locking the door And I'm not going back again Her eyes and arms and skin won't make It go away You'll wake up tomorrow and wrestle the sorrow That holds you down today Go on, and hold her 'til the screaming is gone Go on, believe her when she tells you Nothing's wrong But I'm the only one Who'll walk across the fire for you And I'm the only one Who'll drown in my desire for you It's only fear that makes you run The demons that you're hiding from When all your promises are gone I'm the only one Go on, and hold her 'til the screaming is gone Go on, believe her when she tells you Nothing's wrong But I'm the only one Who'll walk across the fire for you And I'm the only one Who'll drown in my desire for you It's only fear that makes you run The demons that you're hiding from When all your promises are gone I'm the only one And I'm the only one Who'll drown in my desire for you It's only fear that makes you run The demons that you're hiding from When all your promises are gone I'm the only one I'm the only one I'm the only one Ain't nobody else is gonna love you"
ML129,Fleetwood Mac,Go Your Own Way,Loving you Isn't the right thing to do How can I ever change things that I feel? If I could Baby I'd give you my world How can I When you won't take it from me? You can go your own way Go your own way You can call it another lonely day You can go your own way Go your own way Tell me why Everything turned around Packing up Shacking up's all you wanna do If I could Baby I'd give you my world Open up Everything's waiting for you You can go your own way Go your own way You can call it another lonely day You can go your own way Go your own way
ML130,Andy Kim,Rock Me Gently,"Ain't it good, ain't it right That you are with me here tonight Music playing, our bodies swaying in time (In time, in time, in time) Touching you, so warm and tender Lord, I feel such a sweet surrender Beautiful is the dream that makes you mine Mm, rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before Baby, baby, rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before Oh my darling, oh my baby You got the moves that drive me crazy And on your face I see a trace of love (Of love, of love, of love) Come hold me close, don't let me go I need you, honey, I love you so You were made for me by the stars above Mm, rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before And baby, baby, rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before Rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before Ain't it good, ain't it right That you are with me here tonight Rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before Baby, baby, rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before"
ML131,The Bee Gees,Lonely Days,Lyrics not found
ML132,Rod Stewart,Passion,"Somebody somewhere In the heat of the night Looking pretty dangerous Running out of patience Tonight in the city You won't find any pity Hearts are being twisted Another lover cheated, cheated In the bars and the cafés, passion In the streets and the alleys, passion A lot of pretending, passion Everybody searching, passion Once in love you're never out of danger One hot night spent with a stranger All you wanted was somebody to hold on to yeah Passion, passion Passion, passion New York, Moscow, passion Hong Kong, Tokyo, passion Paris and Bangkok, passion A lotta people ain't got passion Hear it in the radio, passion Read it in the papers, passion Hear it in the churches, passion See it in the school yards, passion Once in love you're never out of danger One hot night spent with a stranger All you wanted was somebody to hold on to yeah Once in love you're never out of danger One hot night spent with a stranger All you wanted was somebody to hold on to yeah Alone in your bed at night, passion It's half past midnight, passion As you turn out your sidelight, passion Something ain't right, passion There's no passion, there's no passion There's no passion, I need passion You need passion, we need passion Can't live without passion Won't live without passion Can't live without passion Even the president needs passion Everybody I know needs some passion Some people die and kill for passion Nobody admits they need passion Some people are scared of passion Yeah, passion"
ML133,U2,Pride ,Lyrics not found
ML134,Janet Jackson,Nasty,"Gimme a beat Sittin' in the movie show, thinkin' nasty thoughts, ha Better be a gentleman or you'll turn me off That's right, let me tell it Nasty, nasty boys don't mean a thing (Huh) Oh, you nasty boys Nasty, nasty boys don't ever change (Huh) Oh, you nasty boys I don't like no nasty car, I don't like nasty food Ooh, ooh yeah The only nasty thing I like is a nasty groove (Ha) Will this one do? Uh-huh, I know, sing Nasty, nasty boys don't mean a thing (Huh) Oh, you nasty boys Nasty, nasty boys don't ever change (Huh) Oh, you nasty boys Nasty, nasty boys, give me a nasty groove (Huh) Oh, you nasty boys Nasty, nasty boys, let me see your nasty body move (Huh) Oh, you nasty boys I could learn to like this Listen up I'm not a prude (No) I just want some respect (That's right) So close the door if you want me to respond (Ooh, ooh yeah) 'Cause privacy is my middle name My last name is control No, my first name ain't baby It's Janet, Miss Jackson if you're nasty Nasty, nasty boys don't mean a thing Oh, you nasty boys Nasty, nasty boys don't ever change (Huh) Oh, you nasty boys Nasty boys don't mean a thing Oh, you nasty boys don't mean a thing to me (Uh) Nasty, don't mean a thing (Uh) Oh, you nasty boys (Uh) I love this part Hey, who's that thinkin' nasty thoughts? (Nasty boys) Who's that in that nasty car? (Nasty boys) Who's that eatin' that nasty food? (Nasty boys) Who's jammin' to my nasty groove? (Nasty boys) Ladies? Nasty boys don't mean a thing Oh, you nasty boys"
ML135,Howard Jones,What Is Love?,I love you whether or not you love me I love you even if you think that I don't Sometimes I find you doubt my love for you But I don't mind Why should I mind Why should I mind What is love anyway Does anybody love anybody anyway What is love anyway Does anybody love anybody anyway Can anybody love anyone so much that they will never fear Never worry never be sad The answer is they cannot love this much nobody can This is why I don't mind you doubting What is love anyway Does anybody love anybody anyway What is love anyway Does anybody love anybody anyway And maybe love is letting people be just what they want to be The door always must be left unlocked To love when circumstance may lead someone away from you And not to spend the time just doubting What is love anyway Does anybody love anybody anyway What is love anyway Does anybody love anybody anyway What is love anyway Does anybody love anybody anyway What is love anyway Does anybody love anybody anyway What is love anyway Does anybody love anybody anyway What is love anyway Does anybody love anybody anyway
ML136,Sheryl Crow,A Change Would Do You Good,Lyrics not found
ML137,The Thompson Twins,King For A Day,Lyrics not found
ML138,.38 Special,Second Chance,"Since you been gone I feel my life slipping away I look to the sky And everything is turnin' grey All I made was one mistake How much more will I have to pay Why can't you think it over Why can't you forget about the past When love makes this sound baby A heart needs a second chance Don't put me down babe Can't you see I love you Since you've been gone I've been in a trance This heart needs a second chance Don't say it's over I just can't say goodbye So this is love Standing in the pouring rain I fooled on you But she never meant a thing And I know I ain't got no right To ask you to sympathize But why can't you think it over Why can't you forget about the past When love makes this sound baby A heart needs a second chance Don't put me down baby Can't you see I love you Since you been gone I've been in a trance This heart needs a second chance Don't say it's over I just can't say goodbye I never loved her I never needed her She was willing and that's all there is to say Don't forsake me Please don't leave me now A heart needs a second chance Yeahhhhhh you've been gone and I've been in a trance This heart needs a second chance Don't say it's over I just can't say goodbye Please forgive me and forget it I was wrong and I admit it Why can't we talk it over Why can't we forget about, forget about the past (A heart needs a second chance) When love makes this sound baby (A heart needs a second chance) Don't put me down babe You've been gone I've been in a trance This heart needs a second chance Don't say it's over I just can't say goodbye (A heart needs a second chance) When love makes this sound babe (A heart needs a second chance) (A heart needs a second chance) When love makes this sound baby (A heart needs a second chance)"
ML139,Depeche Mode,Strangelove,"There'll be times when my crimes Will seem almost unforgivable I give in to sin Because you have to make this life livable But when you think I've had enough from your sea of love I'll take more than another riverful Yes, and I'll make it all worthwhile I'll make your heart smile Strangelove, strange highs and strange lows Strangelove, that's how my love goes Strangelove, will you give it to me? Will you take the pain I will give to you Again and again and will you return it? There'll be days when I'll stray I may appear to be constantly out of reach I give in to sin Because I like to practice what I preach I'm not trying to say I'll have it all my way I'm always willing to learn when you've got something to teach Oh, and I'll make it all worthwhile I'll make your heart smile Pain, will you return it? I'll say it again: pain Pain, will you return it? I'll say it again: pain Pain, will you return it? I'll say it again: pain Pain, will you return it? I won't say it again Strangelove, strange highs and strange lows Strangelove, that's how my love goes Strangelove, will you give it to me? Strangelove, strange highs and strange lows Strangelove, that's how my love goes Strangelove, will you give it to me? Strangelove, strange highs and strange lows Strangelove, that's how my love goes Strangelove, will you give it to me? I give in Again and again I give in Will you give it to me? I give in I'll say it again I give in I give in Again and again I give in That's how my love goes I give in I'll say it again I give in"
ML140,Kajagoogoo,Too Shy,"Tied Tongue tied or short of breath, don't even try Try a little harder Something's wrong, I'm not naive, you must must be strong Ooh, baby, try Hey, girl Move a little closer You're too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush Modern medicine falls short of your complaint Ooh, try a little harder You're moving in circles, won't you dilate? Ooh, baby, try Hey, girl Move a little closer 'Cause you're too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush Doo-doo, doo-doo, doo-doo-doo-do, doo-doo-doo-doo-doo-doo, doo-doo Doo-doo, doo-doo, doo-doo-doo-do, doo-doo-doo-doo-doo-doo, doo-doo Doo-doo, doo-doo, doo-doo-doo-do, doo-doo-doo-doo-doo-doo, doo-doo Doo-doo, doo-doo, doo-doo-doo-do, doo-doo-doo-doo-doo-doo, doo-doo You're too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush You're too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush Too shy, shy Hush hush, eye-to-eye Too shy, shy Hush hush, eye-to-eye Too shy, shy"
ML141,The Flying Lizards,Money ,Lyrics not found
ML142,Kenny Loggins,Danger Zone,"Revvin' up your engine Listen to her howlin' roar Metal under tension Beggin' you to touch and go Highway to the danger zone Ride into the danger zone Headin' into twilight Spreadin' out her wings tonight She got you jumpin' off the deck And shovin' into overdrive Highway to the danger zone I'll take you Right into the danger zone They never say ""Hello"" to you Until you get it on the red-line overload You'll never know what you can do Until you get it up as high as you can go Out along the edge Is always where I burn to be The further on the edge The hotter the intensity Highway to the danger zone I'm gonna take you Right into the danger zone Highway to the danger zone Ride into the danger zone Highway to the danger zone I'm gonna take you Right into the danger zone Highway to the danger zone Ride into the danger zone Highway to the danger zone I'm gonna take you Right into the danger zone Highway to the danger zone Ride into the danger zone Highway to the danger zone I'm gonna take you Right into the danger zone"
ML143,Eddie Money,Think I'm In Love,"Ooh, somethin's got a hold on me now It's a feelin', burnin' like a lover on fire Hold me tight, baby Don't leave me by myself tonight 'Cause I don't think I can make it through the night I think I'm in love And my life's lookin' up I think I'm in love 'Cause I can't get enough (no, no, no) I think I'm in love It's gotta be love It surrounds me Over me like a sea of madness It controls me Makes me do all the things I do for you You're on my mind, babe Thinkin' about you now And I don't know if I'll make it through the night I think I'm in love And my life's lookin' up I think I'm in love 'Cause I can't get enough (no, no, no) I think I'm in love It's gotta be love Baby, how you do it There must be somethin' to it Babe I know it's gotta be love {Oh, with magic in your hand}? You made me understand I know, I know it's gotta be love It's gotta be love (Love) and my life's lookin' up (love)"
