emotion,lyrics
angry,"   Black is the night, metal we fight Power amps set to explode Energy screams, magic and dreams Satan records their first note We chime the bell, chaos and hell Metal for maniacs pure Faster than steel, fortune on wheels Brain hemorrhage is the cure   For black metal Black metal Black metal Black metal Black metal Lay down your souls to the gods rock n' roll   Freaking so wild, nobody's mild Giving it all that you got Wild is so right, metal tonight Faster than over the top Open the door, enter hell's door Black is the code for tonight Atomic force, feel no remorse Crank up the amps now it's night   Black metal Black metal Black metal Black metal Black metal Lay down your soul to the gods rock n' roll   Metal ten fold through the deadly black hole Riding hell's stallions bareback and free Taking our chances with raw energy Come ride the night with us, rock hard and fight United my legions we stand Freak hard and wild for us, give up your souls Live for the quest Satan's band, let's go!   Against these odds, black metal gods Fight to achieve our goal Casting a spell, leather and hell Black metal gods rock n' roll Building up steam, nuclear screams War-heads are ready to fight Black leather hounds, faster than sound Metal our purpose in life   Black metal Black metal Black metal Black metal Black metal Lay down your souls to the gods rock n' roll Black metal"
relaxed,"Waves of the soft spring wind Love's flood tide is rising full The moon of love is rising full Sea of beauty The moon of love is rising full Love's flood tide Some laugh, some weep, some dance for joy My mind craves nectar day and night Like a blue lotus floating on the sea of love Lingering in ashantically Lingering in the akashic realms Lingering in the realms Blue lotus floats, floating, floating.. Some laugh, some weep, some dance for joy My mind craves nectar day and night"
sad,The whole town's dripping down a hill Like the spine of something dead Slide in shadow cobble-creep Burn your mark and leave The trench conventions yellow eyes Follow her the local flower The girls a priest (to me at least) Since baptism peroxide And fear is not respect. Correct But it's the best you're gonna get Sharp blow to the bridge of the nose Sharp blow and anything goes
angry," Um, Dois, Três, Quatro   Back to the primitive Fuck all your politics We got our life to live The way we want to be Back to the primitive Fuck all your politics Who feels it, knows it The god will guide me Back to the primitive Fuck all your bullshit We're back to set it free Confronting the negative Back to the primitive Fuck all you wannabe's You don't mean shit to me Let it bleed!   Primitive Primitive Primitive Primitive   Back to the primitive Fuck all your politics We got our life to live The way we want to be Back to the primitive Fuck all your politics How it used to be Check your reality Back to the primitive Fuck all your politics Fuck all your wannabes Aaaaaarggghhh! Back to the primitive Fuck all your politics Forever we will be What we want to be   Primitive Primitive Primitive Primitive   Primitive Primitive Primitive Primitive Primitive Primitive Primitive Primitive Primitive Primitive Primitive   Primitivo Primitivo Primitivo Primitivo Primitivo Primitivo Primitivo"
sad," I came here by day, but I left here in darkness And found you, found you on the way And now, it is silver and silent, it is silver and cold You, in somber resplendence, I hold   Your sins into me Oh, my beautiful one Your sins into me As a rapturous voice escapes, I will tremble a prayer And I'll beg for forgiveness (Your sins into me) Your sins into me Oh, my beautiful one   Light, like the flutter of wings, feel your hollow voice rushing into me As you're longing to sing So I, I will paint you in silver, I will wrap you in cold I will lift up your voice as I sink   Your sins into me Oh, my beautiful one, now Your sins into me As a rapturous voice escapes, I will tremble a prayer And I'll beg for forgiveness (Your sins into me) Your sins into me   Cold in life's throes, I'll fall asleep for you Cold in life's throes, I only ask you turn away Cold in life's throes, I'll fall asleep for you Cold in life's throes, I only ask you turn As they seep into me, oh, my beautiful one, now   Your sins into me Oh, my beautiful one Your sins into me As a rapturous voice escapes, I will tremble a prayer And I'll beg for forgiveness (Your sins into me) Your sins into me  Your sins into me Oh, my beautiful one, now Your sins into me As a rapturous voice escapes, I will tremble a prayer And I'll beg for forgiveness (Your sins into me) Your sins into... (Your sins into me) Your sins into me Oh, my beautiful one"
angry," A jail cell is freedom from the pain in my home Hatred passed on, passed on, and passed on A world of violent rage but it's one that I can recognize Having never seen the color of my father's eyes Yes, I dwell in hell, but it's a hell that I can grip I tried to grip my family but I slipped To escape from the pain in an existence mundane I got a nine, a sign, a set, and now I got a name   Read my writing on the wall No one's here to catch me when I fall Death is on my side Suicide   A jail cell is freedom from the pain in my home Hatred passed on, passed on, and passed on A world of violent rage but it's one that I can recognize Having never seen the color of my father's eyes Yes, I dwell in hell, but it's a hell that I can grip I tried to grip my family but I slipped To escape from the pain in an existence mundane I got a nine, a sign, a set, and now I got a name   Read my writing on the wall No one's here to catch me when I fall Caught between my culture and the system Genocide Read my writing on the wall No one's here to catch me when I fall If ignorance is bliss Then knock the smile off my face Yeah     If we don't take action now We'll settle for nothing later We'll settle for nothing now And we'll settle for nothing later If we don't take action now We'll settle for nothing later We'll settle for nothing now And we'll settle for nothing later If we don't take action now We'll settle for nothing later We'll settle for nothing now And we'll settle for nothing later If we don't take action now We'll settle for nothing later We'll settle for nothing now And we'll settle for nothing later"
angry," Again we stalk the stage At mach speed we engage Feeding people's rage The big cat's left its cage Back in the bus again To catch another plane This behaviour's quite insane But we do it for the fame I lost my mind, I lost all my money I lost my life to the killing road I lost my mind, I lost all my money I lost my life to the killing road The road will never end It always starts again Another show's around the bend Another long-lost friend, oh Faceless as the snow There's nothing special about the road It's just another haul It's just too damn long, that's all I lost my mind, I lost all my money I lost my life to the killing road I lost my mind, I lost all my money I lost my life to the killing road   Lost my mind, I lost all my money I lost my life to the killing road I lost my mind, lost all my money I lost my life to the killing road I lost my mind, lost all my money I lost my life to the killing road I lost my mind, lost all my money I lost my life to the killing road"
relaxed,"We were giving up time We were giving on back on all that's left to do Sometimes you'll have to do Sometimes there's nothing left to say  We were giving up time We were giving up ties and everyone knew it too Rope busted and disgusted And all we knew we cared  But it always, comes back to this Yes it always, comes back to this again  We were kicking around We were broken up bound and everything fell to fear Sometimes you can relate Sometimes there's nothing left to say  We were giving up time We were giving up ties and everyone knew it too Tongue tied and divided The wounds just couldn't be found  It always, comes back to this Yes it always  Six feet below, a world flooded free How should i know, so far from me (i) could try for more, i could settle up for less I'm not keeping score, (i) don't expect you to confess One side is made, the other side too soon I flip a coin, there's more sides than two Trouble ahead, but there's just no going back I pray for rain, while the water's rising fast  And it always Oh it always, comes back to this"
angry,"Tell of the birth Tell how war appeared on earth Musicians with gongs Permeate the autobahns Foetus of disgusting breath And she split the egg Cast a spell and war was born Come follow me Out of the obscurity Pilgrims in songs Swamp the empty aerodrome Kalashnikovs but no houses Women at the double, march No food for the spouses They wait for the US drop Russians sit back and laugh While war casts her gory locks Over the deserted docks She casts her gory locks Over the deserted docks She cast a spell Split an egg and war was born And pillage hopes with gusto Even though they have no nerve And she does just look on And war does what she has to War does what she has to People get what they deserve"
happy," Well, shake it up, baby, now (Shake it up, baby) Twist and shout (Twist and shout) C'mon c'mon, c'mon, c'mon, baby, now (Come on baby) Come on and work it on out (Work it on out) Well, work it on out (Work it on out) You know you look so good (Look so good) You know you got me goin', now (Got me goin') Just like I knew you would (Like I knew you would)   Well, shake it up, baby, now (Shake it up, baby) Twist and shout (Twist and shout) C'mon c'mon, c'mon, c'mon, baby, now (Come on baby) Come on and work it on out (Work it on out) You know you twist your little girl (Twist, little girl) You know you twist so fine (Twist so fine) Come on and twist a little closer, now (Twist a little closer) And let me know that you're mine (Let me know you're mine)     Baby, now (Shake it up, baby) Twist and shout (Twist and shout) C'mon c'mon, c'mon, c'mon, baby, now (Come on baby) Come on and work it on out (Work it on out) You know you twist your little girl (Twist, little girl) You know you twist so fine (Twist so fine) Come on and twist a little closer, now (Twist a little closer) And let me know that you're mine (Let me know you're mine)   Well, shake it, shake it, shake it, baby, now (Shake it up baby) Well, shake it, shake it, shake it, baby, now (Shake it up baby) Well, shake it, shake it, shake it, baby, now (Shake it up, baby)"
sad,"So you say we should just be friends Adam But I know when I get the bends That I'll hate you so So you say we should drift apart Adam But I know that'll break my heart And I'll hate you so, 'cause I loved you so So you say I can be afraid But I know I would have strayed I sit and miss you so, a batch of alcohol ceases to control Don't say you'll think about me Or say that you can live without me Didn't we make it nearly For everything that I hold dearly How many ways can I say plainly, we can Before it wore on us thinly To each and every degree You've got me in agony So you say I should call sometime Adam But I know that'll make you cry I'll say I hate you so, that you burned me so So you say we should make it work Adam But how long does this feeling hurt I'm sure you'd like to know, 'cause I loved you so Don't say you'll think about me Or say that you can live without me Didn't we make it nearly For everything that I hold dearly How many ways can I say plainly, we can Before it wore on us thinly To each and every degree You've got me in agony Don't say you'll think about me Or say that you can live without me Didn't we make it nearly For everything that I hold dearly How many ways can I say plainly, we can Before it wore on us thinly To each and every degree You've got me in agony"
happy," I’d like to be under the sea In an octopus’s garden in the shade He’d let us in, knows where we’ve been In his octopus’s garden in the shade I’d ask my friends to come and see An octopus’s garden with me   I’d like to be under the sea In an octopus’s garden in the shade   We would be warm below the storm In our little hide-a-way beneath the waves Resting our head on the sea bed In an octopus’s garden near a cave We would sing and dance around Because we know we can’t be found   I’d like to be under the sea In an octopus’s garden in the shade     We would shout and swim about The coral that lies beneath the waves (Lies beneath the ocean waves) Oh what joy for every girl and boy Knowing they’re happy and they’re safe (Happy and they’re safe) We would be so happy, you and me No one there to tell us what to do   I’d like to be under the sea In an octopus’s garden with you   In an octopus’s garden with you In an octopus’s garden with you"
relaxed," Right under my feet is air made of bricks That pulls me down and turns me weak for you I find myself repeating like a broken tune And I'm forever excusing your intentions Then, I give in to my pretendings Which forgive you each time Without me knowing They melt my heart to stone   And I hear your words that I made up You say my name like there could be an us I best tidy up my head, I'm the only one in love I'm the only one in love   Each and every time I turn around to leave I feel my heart begin to burst and bleed So, desperately, I try to link it with my head But instead, I fall back to my knees As you tear your way right through me I forgive you once again Without me knowing You've burnt my heart to stone   And I hear your words that I made up You say my name like there could be an us I best tidy up my head, I'm the only one in love I'm the only one in love   Why do you steal my hand Whenever I'm standing my own ground? You build me up and leave me there   Well, I hear your words you made up I say your name like there should be an us I best tidy up my head, I'm the only one In love, I'm the only one in love"
relaxed," Hey baby, what you know good I'm just getting back, but you knew I would War is hell, when will it end? When will people start getting together again? Are things really getting better, like the newspaper said What else is new my friend, besides what I read   Can't find no work, can't find no job, my friend Money is tighter than, it's ever been Say man, I just don't understand What's going on across this land Ah, what's happening brother? Yeah, what's happening? What's happening my man?   Are they still getting down Where we used to go and dance Will our ball club win the pennant Do you think, they have a chance? And tell me friend, how in the world have you been? Tell me, what's out and I want to know what's in   What's the deal man What's happening? Tell me brother What's happening brother? Ah, what's happening brother? What's happening my man? Whoo, ah, ah, what's happening brother? Say man, whoo, what's happening brother?   What's been shaking up and down the line? I want to know because, I'm slightly behind the times"
sad, From the day we met You made me forget All my fears Knew just what to say And you kissed away All my tears I knew this time I had finally found Someone to build my life around Be a lover and a friend After all my heart had put me through I knew that it was safe with you And what we had would never end Wrong again Everybody swore They'd seen this before We'd be fine And you'd come to see that you still loved me In good time And they said there's nothing you can do It's something that he's going through It happens to a lot of men And I told myself that they were right That you'd wake up and see the light And I just had to wait 'til then Wrong again And it seemed to me the pain would last My chance for happiness had passed And nothing waited 'round the bend I was sure I'd never find someone To heal the damage you had done My poor heart would never mend Wrong again Wrong again
angry,"It's the feel of your blood As it flows smoothly down my skin Intoxicating my soul Immortality, seducing me  Burning in your own hell, which now binds you to me infinitely Spirits of angels don't weep for you enticing me Vanity, blood Left for you to drink  Eternity waits for you Vanity, blood Left for you to drink Eternity waits for you to drink  Frozen in time is the ice flowing in your veins Are you insane? At your mercy they suffered while you sat there painless Vile and shameless  Crowned you are now for the merciless sins It's the end Your beauty through order is where blood flows through you Where it begins  Vanity, blood Left for you to drink Eternity waits for you Vanity blood  Left for you to drink Eternity waits for you to drink Young life striped down of all it's dignity Sliced flesh pours out it's youthfulness  My lust will never be fully quenched Your screams tell me that you're not prepared to die    Creature from hell why can't you see the things I see? Mirror tells me that you were always meant for me You are my sacrifice Blood is the deficit  Biting the flesh, face my sick prelude Now meet your frozen death God did not do this Heated iron bar I will insert inside your cunt  Mistress of cruelty, a name that will not die You are my sacrifice Blood is the deficit Bathing in blood, your heart, your soul, your god  It all belongs to me God belongs to me It all belongs to me    Murder is my birthright the bloodline proves aristocracy Walled in, left for dead, your actions show no hypocrisy My birthright, is murder Birthright, murder  Birthright, murder"
sad,"I'm going back, thinking about all the changes I'm going back to all those wasted years I see the rise and fall of the world I lived in This time it doesn't seem real at all But I took the fall and on came all the changes All I had could not be saved - it was far too late  Everyone leaves. In the end Everything dies. In the end It doesn't matter how hard you hold on  I'm going back to the times you went away I thought you thought that I was the monster I see the rise and fall of the world that I made I always wanted to take you with me And then I saw some people for the people that I thought they were In your painful absence  Everyone leaves. In the end Everything dies. In the end It doesn't matter how hard you hold on  How hard can you? Do you want to hold on?  How hard can you? They all leave in the end  How hard can you? We all die in the end"
sad,They shot the tiger on his chain In a field behind the cages He walked in circles 'til he was crazy And he lived that way forever And he lived that way beside them Separate from the other tigers He did not know another tiger  They shot the tiger on his chain In a field behind the cages He walked in circles 'til he was crazy And he lived that way forever And he lived that way forever Just as long as he could remember If he'd wanted to remember  It was the last time he had felt alive When he saw that brown-haired lady She fed him with a bottle as a baby And he recalled her face and smile They shot that tiger on his chain  They shot the tiger on his chain They shot the tiger on his chain They shot the tiger on his chain They shot the tiger on his chain
angry," When I get mad and I get pissed I grab my pen and I write out a list Of all the people that won't be missed You've made my shitlist  For all the ones who bum me out (shitlist) For all the ones who fill my head with doubt (shitlist) For all the squares who get me pissed (shitlist) You've made my shitlist   Shitlist Shitlist   When I get mad and I get pissed I grab my pen and I write out a list Of all you assholes that won't be missed You've made my shitlist   Shitlist Shitlist     Shitlist Shitlist, yeah"
happy," Got a wife and kids in Baltimore, Jack I went out for a ride and I never went back Like a river that don't know where it's flowing I took a wrong turn and I just kept going   Everybody's got a hungry heart Everybody's got a hungry heart Lay down your money and you play your part Everybody's got a hungry heart   I met her in a Kingstown bar We fell in love I knew it had to end We took what we had and we ripped it apart Now here I am down in Kingstown again   Everybody's got a hungry heart Everybody's got a hungry heart Lay down your money and you play your part Everybody's got a hungry heart   Everybody needs a place to rest Everybody wants to have a home Don't make no difference what nobody says Ain't nobody like to be alone   Everybody's got a hungry heart Everybody's got a hungry heart Lay down your money and you play your part Everybody's got a hungry heart"
sad,"I play Hell, you play Heaven I'm death's own little star Can you trace the sins that haunt you And play the Devil's cards as I do I am all that you see I am all that you want me to be I am God for the Antichrist I'm blessed, yet damned I'm fallen, yet resurrected I am all of nothing I play death, you play alive Triple sixes to rise Can you see the visions I brought you And the devilish games that I taught you I am all that you see I am all that you want me to be I am God for the Antichrist I'm blessed, yet damned I'm fallen, yet resurrected I am all of nothing Synthetic generation Stop not its indifference high You must know I am all that you see I am all that you want me to be I am God for the Antichrist I'm blessed, yet damned I'm fallen, yet resurrected I am all of nothing I am God for the Antichrist I'm blessed, yet damned I'm fallen, yet resurrected I am all of nothing I am God for the Antichrist I'm blessed, yet damned I'm fallen, yet resurrected I am all of nothing I am all of nothing"
happy,"There's a new leader in the land With a platform that I understand I saw her face in the magazine She looks hot in her tight jeans  Keep marching on A solider of love Jenna Bush army You can't stop her Jenna Bush army  She's got the brains and the looks that kill Want to see her butt on a ten dollar bill Ready your vote for her ballot box You've got to admit it, she's a fox  Keep marching on Soldier of love Jenna Bush army You can't stop her Jenna Bush army  I don't care who blows up the world I only care about that girl Men of America, storm the election When in doubt, follow your erection Call up your congressman and I say, quote ""Sir, I'm horny and I vote"" Come ye, rally 'round the flag If you don't like her, you must be a fag  Jenna Bush army Jenna Bush army Jenna Bush"
angry,"Rip them down Hold me up Tell them that I'm your gun Pull my trigger I am bigger than- Mr. Prez in his big White House Listen, he says, we're comin' out Infiltration - we're numbin' your minds Concentration - we've done time Rip them down Hold me up Tell them that I'm your gun Pull my trigger I am bigger than- Over there, the Queen, she says Let's stamp them out and dry those tears Saturation - we want in taxes Flagellation - we've got gashes Rip them down Hold me up Tell them that I'm your gun Pull my trigger I am bigger than- In the cold, the czar's claimin' Just protectin', rockets aimin' Alteration - earth is changin' Observation - we want action Rip them down Hold me up Tell them that I'm your gun Pull my trigger I am bigger than- I, the Emperor, proclaim Us, the masters, we rule the game Inclination - somethin' to dream on Deprivation - we are sons Rip them down Hold me up Tell them that I'm your gun Pull my trigger I am bigger than-"
happy,"Waking up in the city What are we gonna do Take a picnic to the park Sing songs about the moon I will bring the frisbee I will bring the dog We'll frolic in the pesticided grass beneath the smog Don't gotta worry 'bout bee stings Don't gotta worry 'bout ants Now's the time to take off our shoes And dance that cartoon dance In the afternoon time We will stroll downtown Past messengers on bicycles And men dressed up in gowns If we should get tired, let's just take the bus I hope that it's not crowded so we can sit up front I can't even see them scrape the sky Blurring the fashions whizzing by Sun gets down in the evening Lights start flashing on The city swells with energy The nightlife has begun Kustle and bustle So many sites to see Endless excitement Keeps me up 'till three Don't wanna go to the movies Who wants to sit inside I didn't get on the guest list Don't want to wait in line Let's go eat pierogis at my favorite cafe The waitress are grumpy and Their English ain't so great We'll talk ourselves in circles Til the pancakes are all gone Today's become tomorrow I can see the pink of dawn Oh, I'm getting tired, I'm oh so tired I think it's time to retire Time for bed To rest my sleepy head"
happy,"Here we are dear old friend You and I drunk again Laughs have been had and and tears have been shed Maybe the whiskey's gone to my head But if I were gay I would give you my heart And if I were gay You'd be my work of art And if I were gay We would swim in romance But I'm not gay So get your hand out of my pants It's not that I dont care - I do I just don't see myself in you Another time, another scene I'd be right behind you, if you know what I mean 'Cause if I were gay I would give you my soul And if I were gay I would give you my whole being And if I were gay We would tear down the walls But I'm not gay So won't you stop cupping my ... hand We've never hugged We've never kissed I've never been intimate with your fist You have opened brand new doors Get over here and drop your drawers"
sad,The way the light hits the road The way I am unable to protect you Oh I'm running away I will never forgive myself For running away from you He came back to our house I didn't take it as a promise Always thought it was a lie He went too far the fucker It's not like I owe him money This is different So gather your strength and break free Or you will surely die Gather your strength don't follow me 'Cause I will surely die The way my eyes cannot move The way I hope to be protected And for one moment I thought That I was lost among the lights of houses My dreams of violence See them coming true
sad," New Jersey turnpike, ridin' on a wet night 'Neath the refinery's glow, out where the great black rivers flow License, registration, I ain't got none But I got a clear conscience 'bout the things that I done   Mister state trooper, please don't stop me Please don't stop me, please don't stop me   Maybe you got a kid, maybe you got a pretty wife The only thing that I got's been botherin' me my whole life   Mister state trooper, please don't stop me Please don't stop me, please don't stop me   In the wee, wee hours, your mind gets hazy Radio relay towers gon' lead me to my baby Radio's jammed up with talk show stations It's just talk, talk, talk, talk, till you lose your patience   Mister state trooper, please don't stop me   Hey, somebody out there, listen to my last prayer Hi ho silver-o, deliver me from nowhere Hi ho"
relaxed," Saturday, what a day, what a silly little day Time to kill, take a pill as I sit and contemplate How I'd like to be around all the people in the town with their fancy cars and things But I, I've got time   Stop pushing all your tragedies away Each moment has got a lesson for the day Take something with you if you drag your heels in yesterdays Oh these Saturdays   In the haste, in the grace, I've been up to my waist It isn't real what you feel when you find love in a chase I've been waiting for the day when someone takes me away and I never get replaced But I, I've got time   Stop pushing all your tragedies away Each moment has got a lesson for the day Take something with you if you drag your heels in yesterdays Oh these Saturdays These Saturdays now (ooh-ooh-oh-da-dun)   As I sink one more drink I am running out of ink Feeling void paranoid about every little thing And I wonder if I try to get up and say goodbye if I'll have the strength to leave Cause I, I don't have much time anymore   Stop pushing all your tragedies away Each moment has got a lesson for the day Take something with you if you drag your heels in yesterdays Oh these Saturdays These Saturdays, now These Saturdays now, oh baby"
sad," Lately I've been wishing I had one desire Something that would make me never want another Something that would make it so that nothing mattered All would be clear then But I guess I'll have to settle for a few brief moments And watch it all dissolve into a single second And try to write it down into a perfect sonnet Or one foolish line  Cause that's all that you'll get so you'll have to accept You are here then you're gone But I believe that lovers should be tied together Thrown into the ocean in the worst of weather And left there to drown Left there to drown in their innocence  But as for me I'm coming to the final chapter I read all of the pages and there is still no answer Only all that was before I know must soon come after That is the only way it can be   So I stand in the sun And I breathe with my lungs I'm trying to spare me the weight of the truth   Saying everything you've ever seen was just a mirror Spent your whole life sweating in an endless fever And now you're laying in a bathtub full of freezing water Wishing you were a ghost But once you knew a girl and you named her Lover Danced with her in kitchens through the greenest summer Autumn came, she disappeared You can't remember where she said she was going to  But you know that she's gone cause she left you a song That you don't want to sing Singing I believe that lovers should be chained together Thrown into a fire with their songs and letters And left there to burn Left there to burn in their arrogance  But as for me I'm coming to my final failure Killed myself with changes trying to make things better Ended up becoming something other than what I had planned to be Now I believe that lovers should be draped in flowers And laid entwined together on a bed of clover And left there to sleep Left there to dream of their happiness"
sad," So close, no matter how far Couldn't be much more from the heart Forever trusting who we are 'Cause nothing else matters   Never opened myself this way Life is ours, we do it our way All these words I don't just say 'Cause nothing else matters   Never cared for what they do, no Never cared for what they know, no But I know   So close, no matter how far Couldn't be much more from the heart Forever trusting who we are 'Cause nothing else matters   Never cared for what they do, no Never cared for what they know, no Never cared for what they do, no But I know   Trust I seek and I find in you Every day for us, something new Open mind for a different view 'Cause nothing else matters, oh   So close, no matter how far Couldn't be much more from the heart Forever trusting who we are 'Cause nothing else matters 'Cause nothing else matters"
relaxed,"One little kiss, a moment of bliss, then hours of deep regret One little smile, and after a while, a longing to forget One little heartache left as a token One little plaything carelessly broken  Remember the night The night you said, ""I love you"" Remember?  Remember you vowed By all the stars above you Remember?  Remember we found a lonely spot And after I learned to care a lot  You promised that you'd forget me not But you forgot To remember   Into my dreams you wandered it seems, and then there came a day You loved me too, my dreams had come true, and all the world was May But soon the Maytime turned to December You had forgotten, do you remember?"
angry," I'm a street walking cheetah With a heart full of napalm I'm a runaway son of the nuclear A-bomb I am a world's forgotten boy The one who searches and destroys   Honey gotta help me please Somebody gotta save my soul Baby, detonate for me!   Look out honey, cause I'm using technology! Ain't got time to make no apology Solar radiation in the dead of night Love in the middle of a fire fight   Honey gotta strike me blind Somebody gotta save my soul Baby, penetrate my mind   And I'm the world's forgotten boy The one who's searchin', searchin' to destroy And honey I'm the world's forgotten boy The one who's searchin' only to destroy Hey!   Look out honey, cause I'm using technology! Ain't got time to make no apology Solar radiation in the dead of night Love in the middle of a fire fight   Honey gotta strike me blind Somebody gotta save my soul Baby, penetrate my mind   And I'm the world's forgotten boy The one who's searchin', searchin' to destroy And honey I'm the world's forgotten boy The one who's searchin', searchin' to destroy   Forgotten boy, forgotten boy Forgotten boy said Hey forgotten boy"
relaxed," Yeah, that's right! Orange Orange Yeah, that's right! Orange Orange Orange Orange Yeah, that's right! Orange Orange   One,  (Orange)  (We'll sail into the stars)  two, three, four Five, six, seven, eight Nine,  (Orange)  (Yeah, that's right!)  ten, eleven, twelve Thirteen, fourteen, fifteen, sixteen Seventeen,  (Orange)  eighteen, nineteen, twenty Twenty-one, twenty-two Twenty-three, twenty-four Twenty-five,  (Orange)  twenty-six Twenty-seven, twenty-eight Twenty-nine, thirty Thirty-one, thirty-two Thirty-three,  (Orange)  thirty-four Thirty-five,  (Yeah, that's right!)  thirty-six Forty-four, sixty-eight Twenty-seven, thirty-five Forty-two,  (Orange)  fifty-eight Forty-seven, sixty-three Eighty-five, seventy-four Sixty-seven, sixty-six Fifty-one,  (Orange)  seventy-nine Forty-two, twenty-four Forty-five,  sixty-ten Six, seven, fifty-six Sixty-five,  (Orange)  forty-four Fifty-three, forty-four Seventeen, thirteen, twenty-three (Yeah, that's right!)   We'll sail into the stars We'll sail into the stars We'll sail into the stars We'll sail into the stars"
angry," Sound is ripping through your ears The deafening sound of metal nears Bodies waiting for his whips The taste of leather on your lips   Hear the cry of war, louder than before With his sword in hand to control the land Crushing metal strikes on this frightening night Fall on to your knees for the phantom lord   Victims falling under chains You hear them crying dying pains The fist of terrors breaking through Now there's nothing you can do   Hear the cry of war louder than before With his sword in hand to control the land Crushing metal strikes on this frightening night Fall on to your knees for the phantom lord     The leathered armies have prevailed The phantom lord has never failed Smoke is lifting from the ground The rising volume metal sound   Hear the cry of war louder than before With his sword in hand to control the land Crushing metal strikes on this frightening night Fall on to your knees for the phantom lord   Fall to your knees And bow to the phantom lord!"
sad," Well, I said the night you left me nothin' worse could ever happen Seein' you with someone else proved that I was wrong And when your eyes met mine I knew that you were gone forever Along with all the reasons I had for hangin' on   I'd be better off in a pine box on a slow train back to Georgia Or in the gray walls of a prison doin' time I think I'd rather die and go to hell and face the devil Than to lie here with you and him together on my mind   I always thought that someday we might get back together I just thought you needed time to spread your wings and fly But when I saw the lovin' way you held onto each other It was all that I could do not to break right down and cry   I'd be better off in a pine box on a slow train back to Georgia Or in the gray walls of a prison doin' time I think I'd rather die and go to hell and face the devil Than to lie here with you and him together on my mind   Girl, I'd be better off in a pine box on a slow train back to Georgia Or in the grey walls of a prison doin' time I think I'd rather die and go to hell and face the devil Than to lie here with you and him together on my mind   I can't lie here with you and him together on my mind"
angry," Now is the time for me to rise to my feet Wipe your spit from my face Wipe these tears from my eyes Now is the time for me to rise to my feet Wipe your spit from my face Wipe these tears from my eyes I've got to take my life back One chance to make it right I've gotta have my voice be heard And bring meaning to this life   'Cause I've trusted for nothing I've been led astray I've been tried and tested But I won't accept defeat Now I've done things I regret And it's time to reverse the roles Now I just wanna make good on All the promises I have made (I will be)   I Will Be I will be heard I Will Be I will be heard Now is the time for me to rise to my feet (I will be heard) Wipe your spit from my face Wipe these tears from my eyes (I will be heard)   (Through the worst, we prevail) (So our voices will be heard) (Through the worst, we prevail) (So are voices will be heard) Through the worst, we prevail So our voices will be heard Through the worst, we prevail So are voices will be   Now is the time for me to rise to my feet Wipe your spit from my face Wipe these tears from my eyes Now is the time for me to rise to my feet Wipe your spit from my face Wipe these tears from my eyes I've got to take my life back One chance to make it right I've got to have my voice be heard And bring meaning to this life   'Cause I've trusted for nothing I've been led astray I've been tried and tested But I won't accept defeat Now I've done things I regret And it's time to reverse the roles Now I just wanna make good on All the promises I have made (I will be)   I Will Be I will be heard I Will Be I will be heard Now is the time for me to rise to my feet (I will be heard) Wipe your spit from my face Wipe these tears from my eyes (I will be heard) I will be"
happy," Ariel, listen to me The human world, it's a mess Life under the sea is better than anything they've got up there   The seaweed is always greener In somebody else's lake You dream about going up there But that is a big mistake Just look at the world around you Right here on the ocean floor Such wonderful things surround you What more is you lookin' for?   Under the sea Under the sea Darling it's better Down where it's wetter Take it from me Up on the shore they work all day Out in the sun they slave away While we devotin' Full time to floatin' Under the sea   Down here all the fish is happy As off through the waves they roll The fish on the land ain't happy They sad cause they in their bowl But fish in the bowl is lucky They in for a worser fate One day when the boss get hungry (Guess who's gon' be on the plate)   Under the sea Under the sea Nobody beat us Fry us and eat us in fricassee We what the land folks loves to cook Under the sea we off the hook We got no troubles Life is the bubbles Under the sea Under the sea Since life is sweet here We got the beat here naturally Even the sturgeon an' the ray They get the urge 'n' start to play We got the spirit You got to hear it Under the sea   The newt play the flute The carp play the harp The plaice play the bass And they soundin' sharp The bass play the brass The chub play the tub The fluke is the duke of soul (Yeah) The ray he can play The lings on the strings The trout rockin' out The blackfish she sings The smelt and the sprat, they know where it's at An' oh that blowfish blow   Under the sea Under the sea When the sardine begin the beguine It's music to me What do they got? A lot of sand We got a hot crustacean band Each little clam here Know how to jam here Under the sea Each little slug here Cuttin' a rug here Under the sea Each little snail here Know how to wail here That's why it's hotter Under the water Ya we in luck here Down in the muck here Under the sea"
relaxed,"Your beauty is beyond compare With flaming locks of auburn hair With ivory skin and eyes of emerald green Your smile is like a breath of spring Your voice is soft like summer rain And I cannot compete with you, Jolene  He talks about you in his sleep and There's nothing I can do to keep From crying when he calls your name, Jolene  And I can easily understand How you could easily take my man But you don't know what he means to me, Jolene  Jolene, Jolene, Jolene, Jolene I'm begging of you Please don't take my man Jolene, Jolene, Jolene, Jolene Please don't take him just because you can  You could have your choice of men But I could never love again He's the only one for me, Jolene  I had to have this talk with you My happiness depends on you And whatever you decide to do, Jolene  Jolene, Jolene, Jolene, Jolene I'm begging of you Please don't take my man Jolene, Jolene, Jolene, Jolene Please don't take him just because you can"
sad,How could I Have led these men to their demise And they just follow? Exploration's last great prize It wasn't mine And mores the shame You will remember my name Great god This is an awful place And I do not think that we can hope For any better things now Oh the end Cannot be far It cannot be far I cannot wait Explorations last great prize A saving grace It wasn't mine And mores the shame You will remember my name
